                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.92501,                0.71513,                 1.0634,                0.50984,                  0.375,                0.36344,                0.16188,                 2.0526,                 5.1702,                 2.2012,               0.000812,               0.000812,               0.000812
                     38,                0.97113,                0.75534,                 1.0916,                0.86854,                    0.5,                0.57869,                0.27311,                 1.7827,                  4.174,                 2.0142,               0.000779,               0.000779,               0.000779
                     39,                0.84949,                0.65077,                 1.0781,                0.86753,                  0.875,                0.86539,                0.68372,                0.85946,                  3.895,                 1.1934,               0.000746,               0.000746,               0.000746
                     40,                0.90624,                0.59565,                 1.0534,                0.86999,                0.83742,                0.86976,                0.64455,                0.84424,                 4.6773,                 1.1722,               0.000713,               0.000713,               0.000713
                     41,                0.88534,                0.62576,                 1.0343,                0.86675,                  0.875,                0.87581,                0.67233,                0.91832,                 3.0291,                 1.1945,                0.00068,                0.00068,                0.00068
                     42,                0.89356,                0.61128,                 1.0533,                0.99434,                  0.875,                0.88793,                0.65926,                0.92852,                 2.1731,                 1.1836,               0.000647,               0.000647,               0.000647
                     43,                0.86772,                0.61786,                 1.0351,                0.98836,                  0.875,                0.90451,                0.62985,                0.93394,                  1.903,                 1.1768,               0.000614,               0.000614,               0.000614
                     44,                0.87281,                0.63176,                 1.0856,                0.98675,                  0.875,                0.87588,                0.61324,                0.97707,                 2.0517,                 1.2426,               0.000581,               0.000581,               0.000581
                     45,                 0.8631,                0.62033,                 1.0443,                0.98466,                  0.875,                0.89982,                0.66883,                0.91331,                 1.9377,                 1.2548,               0.000548,               0.000548,               0.000548
                     46,                 0.8244,                 0.5775,                 1.0285,                      1,                0.84927,                0.87946,                0.66367,                0.90746,                 1.6134,                 1.2648,               0.000515,               0.000515,               0.000515
